Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Opel Combo Cargo,1.5 D 130 BVA8 PACK CLIM (Fourgonnette),Diesel,Automatique,5CV,10/2019,150,28260
Peugeot Partner,1.5 BlueHDi 130 BVM6 Fourgon Standard Asphalt (Fourgon),Diesel,Manuelle,5CV,10/2018,210,28260
Skoda Kamiq,1.5 TSI 150 ch Style (Tout-Terrain),Essence,Manuelle,8CV,01/2020,0,28280
Volkswagen Golf Sportsvan,1.0 TSI 115 BVM6 Confortline (Monospace),Essence,Manuelle,6CV,03/2019,0,28280
Volkswagen Jetta,2.0 TDI 110 BlueMotion Technology DSG7 ConfortLine (3p.),Diesel,Automatique,5CV,06/2015,0,28280
Fiat 500 X,1.3 FireFly Turbo T4 150 DCT 120th (Tout-Terrain),Essence,Automatique,8CV,04/2019,1761,28290
Fiat 500 X,1.3 FireFly Turbo T4 150 DCT S-Design (Tout-Terrain),Essence,Automatique,8CV,11/2018,1761,28290
Toyota Proace City Verso,Medium 1.2L 110 VVT-i BVM6 Design (Combiné),Essence,Manuelle,6CV,12/2019,400,28290
DS DS3 CrossBack,1.5 BlueHDi 100 BVM6 Performance Line (5p.),Diesel,Manuelle,5CV,10/2018,0,28300
Jeep Renegade,2.0D MultiJet 140 4x4 BVM6 Longitude (Tout-Terrain),Diesel,Manuelle,8CV,09/2018,3331,28300
Mini Mini,Cooper S 192 ch (3p.),Essence,Manuelle,11CV,01/2020,1761,28300
Mini Mini,One 102 BVA7 Edition Greenwich (3p.),Essence,Automatique,5CV,09/2019,150,28300
Peugeot 308,1.2i 12V 130 PureTech BVM6 Allure Business (5p.),Essence,Manuelle,6CV,11/2018,0,28300
Opel Vivaro,L2 1.5D 100 Essentia (Fourgon),Diesel,Manuelle,5CV,03/2019,818,28308
Citroen Berlingo Van,1.5 BlueHDi 130 BVM6 WORKER (Fourgonnette),Diesel,Manuelle,5CV,09/2019,210,28320
Peugeot Partner,Long 1.5 BlueHDi 130 BVM6 GRIP (Fourgon),Diesel,Manuelle,5CV,09/2019,210,28320
Volkswagen Caddy,1.0 TSI 102 Alltrack (Combiné),Essence,Manuelle,6CV,01/2019,1276,28320
Volkswagen Caddy Van,1.4 TGI 110 GNV Business Line Plus (Fourgon),GPL,Manuelle,5CV,12/2016,230,28332
Mercedes Citan,111 CDI EXTRA LONG PRO (Fourgon),Diesel,Manuelle,5CV,07/2019,,28338
Ford C-Max,1.5 TDCi 95 Trend Business (Monospace),Diesel,Manuelle,5CV,02/2018,400,28350
Hyundai Kona,1.6 GDi Hybrid BVA Business (Tout-Terrain),Hybride,Automatique,5CV,09/2019,0,28350
Audi A1 Sportback,30 TFSI 116 BVM6 S line (5p.),Essence,Manuelle,6CV,09/2018,0,28360
Volkswagen Caddy,2.0 TDI 102 Beach (Combiné),Diesel,Manuelle,5CV,01/2018,1629,28360
Fiat Doblo Cargo,MAXI 750 KG 1.6 MULTIJET 105 EVOLUZIONE (Fourgon),Diesel,Manuelle,5CV,01/2020,,28362
Toyota Hi Lux X-TRA Cabine,2.4 D-4D 150 4WD LeCap (Pick-Up),Diesel,Manuelle,8CV,04/2016,20000,28362
Volkswagen Golf,1.6 TDI 115 FAP BVM5 Trendline (5p.),Diesel,Manuelle,6CV,06/2019,0,28370
Skoda Kamiq,1.0 TSI 116 DSG7 Style (Tout-Terrain),Essence,Automatique,6CV,07/2019,0,28380
Toyota Proace City Verso,Long 1.5L 130 D-4D BVA8 Dynamic (Combiné),Diesel,Automatique,7CV,12/2019,125,28390
Ford Focus,1.5i 150 EcoBoost BVA8 Titanium (5p.),Essence,Automatique,8CV,05/2018,260,28400
Hyundai i30 FastBack,1.0 T-GDi 120 BVM6 N Line (Coupé),Essence,Manuelle,6CV,01/2019,240,28400
Hyundai i30 SW,1.6 CRDi 115 DCT-7 Business (Break),Diesel,Automatique,6CV,07/2018,0,28400
Jeep Renegade,1.3 GSE T4 150 ch BVR6 Longitude Business (Tout-Terrain),Essence,Automatique,8CV,01/2020,450,28400
Mercedes Classe A,A 160 109ch BM6 Style Line (5p.),Essence,Automatique,6CV,06/2018,540,28400
Mini Mini,One 102 ch MINI Yours (5p.),Essence,Manuelle,5CV,01/2020,150,28400
Opel Vivaro Combi,L1 1.5 D 120 (Combiné),Diesel,Manuelle,6CV,03/2019,540,28400
Renault Scénic,1.2i TCe 115 Limited (Monospace),Essence,Manuelle,6CV,09/2018,1172,28400
Seat Arona,1.6 TDI 95 DSG7 Urban Sport Line (Tout-Terrain),Diesel,Automatique,5CV,07/2019,0,28400
Ford Transit Connect Cabine Approfondie,L2 1.5 D 120 EcoBlue BVA8 Trend (Fourgon),Diesel,Automatique,7CV,05/2018,1629,28416
Audi A3 Sportback,30 TDI 116 (5p.),Diesel,Manuelle,6CV,09/2018,0,28420
Ford Tourneo Connect,1.5 D 120 EcoBlue BVA8 Trend (Combiné),Diesel,Automatique,6CV,05/2018,818,28420
Kia Cee'd,1.6 CRDi 115 DCT7 Active Business (5p.),Diesel,Automatique,6CV,08/2018,0,28420
Citroen C4 SpaceTourer,1.2i 12V 130 EAT8 Live (Monospace),Essence,Automatique,6CV,09/2019,0,28450
Citroen Grand C4 SpaceTourer,1.2i 130 PureTech BVM6 Business (Monospace),Essence,Manuelle,7CV,07/2018,125,28450
Ford Focus,1.0 EcoBoost 125 Active V (5p.),Essence,Manuelle,6CV,10/2019,0,28450
Ford Focus,1.5i 182 EcoBoost ST-Line (5p.),Essence,Manuelle,10CV,05/2018,230,28450
Ford Focus SW,1.5i 150 EcoBoost Active (Break),Essence,Manuelle,8CV,11/2018,100,28450
Ford Focus SW,1.5i 150 EcoBoost ST-Line (Break),Essence,Manuelle,8CV,05/2018,100,28450
Ford Focus SW,1.5i 120 EcoBlue BVA8 Trend Business (Break),Diesel,Automatique,6CV,05/2018,0,28450
Peugeot 308 SW,1.2i 130 PureTech BVM6 Allure (Break),Essence,Manuelle,6CV,02/2018,0,28450
Peugeot 5008,1.2i 12V 130 PureTech BVM6 Acces (Tout-Terrain),Essence,Manuelle,7CV,07/2019,125,28450
Honda HR-V,1.5 i-VTEC CVT Executive (Tout-Terrain),Essence,Automatique,7CV,04/2019,280,28460
Audi A1 Sportback,25 TFSI 95 BVM5 Design Luxe (5p.),Essence,Manuelle,5CV,01/2019,0,28470
Seat Leon ST,1.6 TDI 115 BVM5 Style Business (Break),Diesel,Manuelle,6CV,11/2019,0,28470
Skoda Scala,1.0 TSI 116 BVM6 Monte-Carlo (5p.),Essence,Manuelle,6CV,10/2019,0,28470
Kia XCeed,1.4l T-GDi 140 BVM6 Active (Tout-Terrain),Essence,Manuelle,8CV,07/2019,1504,28490
Mitsubishi Eclipse Cross,1.5 MIVEC 163 2WD BVM6 Black Collection+ (Tout-Terrain),Essence,Manuelle,9CV,05/2019,6375,28490
Subaru XV,1.6i 114 Lineatronic Confort (5p.),Essence,Automatique,7CV,03/2019,5715,28490
Volkswagen Golf,1.5 TSI 130 BVM6 Confortline (5p.),Essence,Manuelle,7CV,12/2019,0,28490
Hyundai i30 SW,1.6 CRDi 115 DCT-7 Edition #Navi (Break),Diesel,Automatique,6CV,01/2020,0,28500
Opel Insignia Grand Sport,1.5 Turbo 140 Edition (5p.),Essence,Manuelle,7CV,06/2019,310,28500
Peugeot 308 SW,1.2i 12V 110 Tech Edition (Break),Essence,Manuelle,5CV,06/2019,0,28500
Renault Captur,1.5 Blue dCi 115 EDC Intens (Tout-Terrain),Diesel,Automatique,6CV,11/2019,0,28500
Renault Mégane Estate,1.5 Blue dCi 115 Business (Break),Diesel,Manuelle,6CV,09/2018,0,28500
Renault Scénic,1.2i TCe 115 Business (Monospace),Essence,Manuelle,6CV,09/2018,1172,28500
Renault ZOE,R135 BVA Intens (5p.),Électrique,Automatique,1CV,09/2019,-6000,28500
Smart Fortwo Coupé,Electrique 82 ch BVA Prime (Coupé),Électrique,Automatique,1CV,11/2019,-6000,28500
Volkswagen Coccinelle Cabriolet,1.2 TSI 105 BlueMotion Technology DSG7 Design (Cabriolet),Essence,Automatique,6CV,07/2016,400,28500
Volkswagen Caddy,1.4 TGI 110 GNV ConfortLine (Combiné),GPL,Manuelle,6CV,04/2015,450,28520
Fiat Doblo Cargo,MAXI 1.6 MULTIJET 120 PRO LOUNGE (Fourgon),Diesel,Manuelle,5CV,01/2020,,28542
Toyota Proace City Fourgon,1.5L 130 D-4D BVA8 Medium Dynamic (Fourgon),Diesel,Automatique,5CV,10/2019,150,28542
BMW Série 1,118i 140ch Lounge (5p.),Essence,Manuelle,7CV,05/2019,260,28550
Citroen C5 AirCross,1.2i 12V 130 PureTech BVM6 Business (Tout-Terrain),Essence,Manuelle,7CV,09/2018,230,28550
Toyota Corolla,122h Hybride 98 e-CVT Dynamic (5p.),Hybride,Automatique,4CV,10/2018,0,28550
Toyota Corolla Touring Sports,122h Hybride 98 BVA Active (Break),Hybride,Automatique,4CV,11/2018,0,28550
Fiat Doblo Cargo,MAXI 1.4 GNV T-JET 120 BUSINESS (Fourgon),GPL,Manuelle,5CV,01/2020,,28554
Volkswagen Caddy Maxi Van,2.0 TDI 102 Business Line Plus (Fourgon),Diesel,Manuelle,7CV,12/2016,540,28560
Audi Q2,30 TDI 116 BVM6 (Tout-Terrain),Diesel,Manuelle,6CV,06/2018,360,28570
Abarth 595 C,1.4 Turbo 16V T-Jet 180 BVM5 Competizione (Cabriolet),Essence,Manuelle,10CV,01/2019,5105,28590
Kia Cee'd,1.6 CRDi 136 DCT7 Active (5p.),Diesel,Automatique,7CV,06/2018,0,28590
Kia Pro_Cee'd,1.4 T-GDI 140 BVM6 GT Line (5p.),Essence,Manuelle,7CV,07/2019,650,28590
Kia XCeed,1.6l CRDi 136 BVM6 Motion (Tout-Terrain),Diesel,Manuelle,7CV,07/2019,100,28590
Citroen C4 SpaceTourer,1.5 BlueHDi 130 Live (Monospace),Diesel,Manuelle,6CV,06/2018,0,28600
Mini Mini Countryman,1.5i 102 One Salt Auto-ecole (Tout-Terrain),Essence,Manuelle,6CV,01/2019,540,28600
Nissan Qashqai,1.3 DIG-T 140 Euro 6d-Temp Business Edition (Tout-Terrain),Essence,Manuelle,7CV,11/2018,360,28600
Nissan Qashqai,1.3 DIG-T 140 Business Edition (Tout-Terrain),Essence,Manuelle,7CV,07/2019,360,28600
Nissan Qashqai,1.3 DIG-T 140 Business Edition (Tout-Terrain),Essence,Manuelle,7CV,05/2019,360,28600
Peugeot 308,1.2i 130 PureTech BVM6 Tech Edition (5p.),Essence,Manuelle,6CV,04/2018,0,28600
Renault Mégane Estate,1.5 Blue dCi 115 Limited (Break),Diesel,Manuelle,6CV,05/2019,0,28600
Seat Ateca,1.5 TSI 150 ACT Style (5p.),Essence,Manuelle,8CV,06/2018,210,28600
Citroen Berlingo,VAN M 1000 1.5 BlueHDi 130 EAT8 Club (Fourgonnette),Diesel,Automatique,5CV,09/2018,150,28620
Peugeot Partner,1.5 BlueHDi 130 EAT8 Fourgon Standard Premium (Fourgon),Diesel,Automatique,5CV,10/2018,150,28620
Ford Tourneo Connect,1.5 D 120 EcoBlue Titanium (Combiné),Diesel,Manuelle,6CV,05/2018,230,28640
Honda Civic,1.6 i-DTEC 120 Executive (4p.),Diesel,Manuelle,6CV,04/2019,0,28640
Ford C-Max,1.0i 125 EcoBoost Titanium (Monospace),Essence,Manuelle,7CV,11/2018,740,28650
Ford Focus,2.0 EcoBlue 150 Titanium (5p.),Diesel,Manuelle,8CV,10/2019,0,28650
Ford Focus SW,1.0i 125 EcoBoost Active Business (Break),Essence,Manuelle,6CV,05/2019,0,28650
Ford Focus SW,1.0i 125 EcoBoost ST-Line Business (Break),Essence,Manuelle,6CV,05/2018,0,28650
Skoda Octavia Combi,1.6 TDI 116 FAP Business (Break),Diesel,Manuelle,6CV,06/2018,0,28650
Honda Civic,1.6 i-DTEC 120 Executive (5p.),Diesel,Manuelle,6CV,10/2019,0,28670
Volkswagen Caddy,1.4 TSI 130 DSG7 Confortline (Combiné),Essence,Automatique,7CV,10/2018,2205,28670
Citroen Jumpy,M 1.5 BlueHDi 100 BVM6 CONTROL (Fourgon),Diesel,Manuelle,5CV,04/2019,650,28680
Ford Grand Tourneo Connect,1.5D 100 EcoBlue Connect Titanium (Combiné),Diesel,Manuelle,5CV,05/2018,230,28680
Opel Combo Cargo,1.5 D 130 BVA8 PACK CLIM (Fourgonnette),Diesel,Automatique,5CV,10/2019,150,28680
Peugeot Expert,Standard (Fourgon Tolé) 1.5 BlueHDi 100 EAT8 PRO (Fourgon),Diesel,Manuelle,5CV,04/2019,650,28680
Ford Transit Connect,L1 1.5 D 120 EcoBlue Fourgon Sport (Fourgon),Diesel,Manuelle,6CV,05/2018,280,28692
DS DS3 CrossBack,1.2i 12V 110 PureTech BVM6 Business (5p.),Essence,Manuelle,5CV,10/2018,0,28700
Jeep Renegade,2.0 l MultiJet 140 ch 4x4 BVM6 Longitude (Tout-Terrain),Diesel,Manuelle,8CV,01/2020,3119,28700
Mazda MX-5 Roadster,1.5L SKYACTIV-G 132 ch Elegance (Cabriolet),Essence,Manuelle,7CV,01/2020,1629,28700
Mini Mini,Cooper 136 Edition Greenwich (5p.),Essence,Manuelle,7CV,09/2019,170,28700
Mini Mini Cabriolet,1.5i 102 One Chili (Cabriolet),Essence,Manuelle,6CV,05/2018,150,28700
Opel Combo Life,L2H1 1.5 D 130 Elegance (Combiné),Diesel,Manuelle,7CV,07/2019,210,28700
Peugeot 2008,1.5 BlueHDi 130 EAT8 Allure (Tout-Terrain),Diesel,Automatique,6CV,10/2019,0,28700
Renault Mégane Estate,1.3i TCe 140 FAP Intens (Break),Essence,Manuelle,7CV,09/2018,260,28700
Volkswagen Caddy Maxi,1.4 TSI 130 Confortline (Combiné),Essence,Manuelle,7CV,10/2018,3784,28700
Seat Leon,1.5 TGI 130 DSG7 Style Business (5p.),GPL,Automatique,6CV,10/2018,0,28710
Kia Cee'd SW,1.6 CRDi 136 BVM6 Active Business (Break),Diesel,Manuelle,7CV,08/2018,0,28720
Fiat Doblo Cargo,MAXI 1005 KG 1.6 MULTIJET 105 EVOLUZIONE (Fourgon),Diesel,Manuelle,5CV,01/2020,,28722
Ford Transit Custom Fourgon,280 L1H1 2.0D 105 EcoBlue Ambiente (Fourgon),Diesel,Manuelle,6CV,11/2017,8671,28728
Opel Combo Life,L2H1 1.5 D 130 BVA8 Edition (Combiné),Diesel,Automatique,7CV,07/2019,190,28730
Nissan NV250 Fourgon,1.5 dCi 115 N-CONNECTA (Fourgon),Diesel,Manuelle,5CV,10/2019,280,28740
Seat Leon,1.5 TSI 150 ACT FR (5p.),Essence,Manuelle,7CV,06/2018,0,28740
Seat Leon,1.5 TSI 150 ACT Xcellence (5p.),Essence,Manuelle,7CV,06/2018,0,28740
Skoda Kodiaq,1.5 TSI 150 Active (Tout-Terrain),Essence,Manuelle,8CV,06/2019,450,28740
Toyota Proace City Fourgon,1.5L 130 D-4D BVM6 Medium Business (Fourgon),Diesel,Manuelle,5CV,10/2019,210,28740
Toyota Proace City Verso,Long 1.5L 100 D-4D BVM5 Executive (Combiné),Diesel,Manuelle,5CV,12/2019,100,28740
Citroen Jumpy Combi,M 1.5 BlueHDi 100 BVM6 Confort (Combiné),Diesel,Manuelle,5CV,04/2019,650,28750
Ford Focus,1.5i 120 EcoBlue BVA8 Titanium (5p.),Diesel,Automatique,6CV,05/2018,0,28750
Ford Focus SW,1.0 EcoBoost 125 BVA8 Active (Break),Essence,Automatique,6CV,10/2019,190,28750
Ford Focus SW,1.0 EcoBoost 125 BVA8 ST Line (Break),Essence,Automatique,6CV,10/2019,190,28750
Peugeot 308 SW,1.5 BlueHDi 130 BVM6 Style (Break),Diesel,Manuelle,6CV,02/2018,0,28750
Toyota Corolla,Hybride 122h 98 BVA Dynamic (5p.),Hybride,Automatique,4CV,08/2019,0,28750
Mercedes Citan Tourer,111 CDI Tourer Long Pro (Combiné),Diesel,Manuelle,6CV,02/2019,280,28758
Volkswagen Caddy Maxi,2.0 TDI 102 DSG6 TrendLine (Combiné),Diesel,Automatique,6CV,04/2015,2726,28760
Volkswagen Golf Sportsvan,1.0 TSI 115 BVM6 United (Monospace),Essence,Manuelle,6CV,02/2020,0,28780
Toyota Proace Fourgon,Medium 1.6 D-4D 95 BVM5 Active (Fourgon),Diesel,Manuelle,5CV,02/2018,2544,28782
Kia Cee'd SW,1.6 CRDi 115 DCT7 Active (Break),Diesel,Automatique,6CV,06/2018,0,28790
Volkswagen Coccinelle,2.0 TDI 150 BlueMotion Technology BVM6 Design (3p.),Diesel,Manuelle,8CV,07/2016,240,28790
Citroen C5 AirCross,1.2i 12V 130 EAT8 Live (Tout-Terrain),Essence,Automatique,7CV,11/2019,0,28800
Ford Focus SW,1.5D 120 EcoBlue Active (Break),Diesel,Manuelle,6CV,11/2018,0,28800
Ford Focus SW,1.5i 120 EcoBlue ST-Line (Break),Diesel,Manuelle,6CV,05/2018,0,28800
Infiniti Q30,1.6t 122 6MT Luxe (Tout-Terrain),Essence,Manuelle,7CV,02/2018,1629,28800
Jeep Renegade,1.3 GSE T4 150 BVR6 Opening Edition (Tout-Terrain),Essence,Automatique,8CV,12/2019,450,28800
Opel Astra Sports Tourer,1.4i Turbo 145 CVT Elegance (Break),Essence,Automatique,8CV,07/2019,100,28800
Renault Grand Scénic,1.3 TCe 140 FAP Zen - 20 (Monospace),Essence,Manuelle,8CV,12/2019,1386,28800
Volkswagen T-Cross,1.6 TDI 95 DSG7 Lounge Business (Tout-Terrain),Diesel,Automatique,5CV,05/2019,0,28800
Nissan NV200,1.5 dCi 110 N-Connecta (Fourgon),Diesel,Manuelle,5CV,12/2017,818,28830
Skoda Karoq,1.0 TSI 116 Business (Tout-Terrain),Essence,Manuelle,6CV,11/2018,50,28840
Toyota Proace City Fourgon,1.5L 100 D-4D BVM5 Long Business (Fourgon),Diesel,Manuelle,5CV,10/2019,100,28842
Opel Astra Sports Tourer,1.5 D 122 BVM6 Elegance (Break),Diesel,Manuelle,6CV,07/2019,0,28850
Honda HR-V,1.5 i-VTEC Exclusive (Tout-Terrain),Essence,Manuelle,7CV,04/2019,898,28860
Skoda Kamiq,1.0 TSI 116 Monte-Carlo (Tout-Terrain),Essence,Manuelle,6CV,10/2019,0,28880
Volkswagen Caddy Maxi Van,1.4 TGI 110 GNV Business Line (Fourgon),GPL,Manuelle,5CV,04/2015,240,28884
Kia Cee'd,1.4 T-GDI 140 BVM6 GT Line Premium (5p.),Essence,Manuelle,7CV,07/2019,650,28890
Skoda Octavia Combi,1.6 TDI 116 FAP Edition (Break),Diesel,Manuelle,6CV,11/2018,0,28890
Suzuki S-Cross,1.4 Boosterjet Hybrid Allgrip Style (Tout-Terrain),Essence,Manuelle,7CV,01/2020,50,28890
Volkswagen Coccinelle,2.0 TDI 110 BlueMotion Technology DSG7 Origin (3p.),Diesel,Automatique,6CV,05/2017,280,28890
Jeep Renegade,1.3 GSE T4 150 BVR6 Brooklyn Edition (Tout-Terrain),Essence,Automatique,8CV,01/2019,2205,28900
Mazda 3,1.8 Skyactiv-D 116 BVM6 Business Executive (4p.),Diesel,Manuelle,6CV,04/2019,0,28900
Mazda 3,1.8 SkyActiv-D 116 BVM6 Business Executive (5p.),Diesel,Manuelle,6CV,12/2018,0,28900
Mazda 3,2.0L SKYACTIV-G M Hybrid 122 ch BVA6 Business Executive (5p.),Essence,Automatique,7CV,01/2020,310,28900
Mazda 3,2.0L SKYACTIV-G M Hybrid 122 ch BVA6 Business Executive (4p.),Essence,Automatique,7CV,01/2020,540,28900
Mazda MX-5 Roadster,1.5L SKYACTIV-G 132 ch Elegance (Cabriolet),Essence,Manuelle,7CV,01/2020,1629,28900
Mini Mini,One 102 ch Finition John Cooper Works (5p.),Essence,Manuelle,5CV,01/2020,150,28900
Mini Mini Clubman,1.5i Twin Power Turbo 136 Cooper Salt Auto-ecole (Break),Essence,Manuelle,7CV,05/2019,540,28900
Mini Mini Clubman,1.5 D Twin Power Turbo 116 One D (Break),Diesel,Manuelle,6CV,05/2019,0,28900
Nissan Qashqai,1.5 dCi 115 Euro 6d-Temp Acenta (Tout-Terrain),Diesel,Manuelle,6CV,09/2018,0,28900
Nissan Qashqai,1.5 dCi 115 Acenta (Tout-Terrain),Diesel,Manuelle,6CV,07/2019,0,28900
Nissan Qashqai,1.5 dCi 115 Acenta (Tout-Terrain),Diesel,Manuelle,6CV,05/2019,0,28900
Opel Astra,1.5 D 122 BVA9 Edition Business (5p.),Diesel,Automatique,6CV,07/2019,100,28900
Renault Mégane,1.3i TCe 160 Intens (5p.),Essence,Manuelle,8CV,09/2018,400,28900
Renault Mégane Estate,1.3i TCe 140 FAP EDC Business (Break),Essence,Automatique,7CV,12/2018,400,28900
Volkswagen Golf SW,1.0 TSI 115 BVM6 Confortline Business (Break),Essence,Manuelle,6CV,02/2019,0,28900
Fiat Doblo Cargo,1.4 GNV T-JET 120 PRO LOUNGE (Fourgon),GPL,Manuelle,5CV,01/2020,,28914
Honda Civic,1.0 i-VTEC 126 CVT Dynamic (5p.),Essence,Automatique,6CV,01/2019,0,28920
Toyota Proace City Cabine approfondie,1.5L 130 D-4D BVM6 Long Active (Fourgon),Diesel,Manuelle,5CV,10/2019,210,28920
Audi A3 Sportback,35 TFSI COD 150 (5p.),Essence,Manuelle,8CV,09/2018,240,28940
Citroen Berlingo,1.5 BlueHDi 130 EAT8 Taille XL Feel (Combiné),Diesel,Automatique,7CV,06/2018,0,28950
Opel Combo Life,L2H1 1.2i 130 BVA8 Elegance (Combiné),Essence,Automatique,7CV,07/2019,210,28950
Opel Mokka X,1.6 CDTI 136 4x2 Elite (Tout-Terrain),Diesel,Manuelle,7CV,02/2018,540,28950
Peugeot 308 SW,1.5 BlueHDi 100 BVM6 Allure (Break),Diesel,Manuelle,5CV,04/2018,0,28950
Toyota Corolla Touring Sports,Hybride 122h 98 BVA Active (Break),Hybride,Automatique,4CV,08/2019,0,28950
Opel Combo Cargo,L2H1 (Augmenté) 1.5D 130 PACK BUSINESS (Fourgonnette),Diesel,Manuelle,5CV,04/2019,210,28968
Audi A3 Berline,30 TDI 116 (4p.),Diesel,Manuelle,6CV,09/2018,0,28970
Citroen Berlingo Van,1.2i 12V 130 PureTech EAT8 DRIVER (Fourgonnette),Essence,Automatique,6CV,09/2019,190,28980
Peugeot Partner,Fourgon long 950 kg 1.2 PureTech 130 EAT8 ASPHALT (Fourgon),Essence,Manuelle,6CV,02/2020,190,28980
Volkswagen Caddy Maxi Van,1.4 TSI 130 DSG7 Business Line (Fourgon),Essence,Automatique,7CV,07/2019,2726,28980
Volkswagen Coccinelle,1.2 TSI 105 BlueMotion Technology DSG7 Dune (3p.),Essence,Automatique,6CV,07/2016,310,28980
Fiat 500 X,1.3 FireFly Turbo T4 150 DCT Sport (Tout-Terrain),Essence,Automatique,8CV,09/2019,650,28990
Fiat 500 X,1.6 Multijet 120 DCT Sport (Tout-Terrain),Diesel,Automatique,6CV,09/2019,190,28990
Kia Cee'd,1.6 CRDi 136 BVM6 GT Line (5p.),Diesel,Manuelle,7CV,07/2019,0,28990
Kia Niro,Hybrid 1.6 GDi 105 + Electrique 43.5 DCT6 Motion (5p.),Hybride,Automatique,5CV,04/2019,0,28990
Suzuki S-Cross,1.4i BoosterJet 140 Allgrip BVA Style (Tout-Terrain),Essence,Manuelle,8CV,09/2018,1901,28990
Volkswagen Caddy Van,2.0 TDI 102 DSG6 BUSINESS LINE (Fourgon),Diesel,Automatique,7CV,01/2020,898,28992
Jeep Renegade,1.6D MultiJet 120 BVR6 Longitude Business (Tout-Terrain),Diesel,Automatique,6CV,09/2018,540,29000
Mazda 3,2.0i SkyActiv-X M Hybrid 180 BVM6 Business Executive (5p.),Essence,Manuelle,9CV,05/2019,0,29000
Mazda 3,2.0i SkyActiv-X M Hybrid 180 BVM6 Business Executive (4p.),Essence,Manuelle,9CV,05/2019,0,29000
Nissan Qashqai,1.3 DIG-T 160 Acenta (Tout-Terrain),Essence,Manuelle,8CV,05/2019,360,29000
Nissan Qashqai,1.3 DIG-T 160 Euro 6d-Temp Acenta (Tout-Terrain),Essence,Manuelle,8CV,11/2018,360,29000
Nissan Qashqai,1.3 DIG-T 160 Acenta (Tout-Terrain),Essence,Manuelle,8CV,07/2019,360,29000
Opel Crossland X,1.2i Turbo 130 BVA6 Ultimate (Tout-Terrain),Essence,Automatique,7CV,06/2019,125,29000
Renault Mégane Estate,1.3i TCe 140 FAP EDC Limited (Break),Essence,Automatique,7CV,05/2019,400,29000
Volkswagen Caddy Van,1.4 TSI 130 DSG7 Business Line Plus (Fourgon),Essence,Automatique,7CV,07/2019,2726,29016
Ford Grand Tourneo Connect,1.5 D 120 EcoBlue BVA8 Connect Trend (Combiné),Diesel,Automatique,6CV,05/2018,818,29020
Honda Civic,1.0 i-VTEC 129 Exclusive (5p.),Essence,Manuelle,6CV,04/2018,50,29020
Volkswagen Caddy Maxi,1.4 TSI 130 Beach (Combiné),Essence,Manuelle,7CV,10/2018,3784,29020
BMW Série 1,116d 116ch Lounge (5p.),Diesel,Manuelle,6CV,05/2019,0,29050
Ford Focus,1.5i 150 EcoBoost Active Business (5p.),Essence,Manuelle,8CV,05/2019,100,29050
Ford Focus,1.5i 150 EcoBoost ST-Line Business (5p.),Essence,Manuelle,8CV,05/2018,100,29050
Nissan Qashqai,1.3 DIG-T 140 N-Connecta (Tout-Terrain),Essence,Manuelle,7CV,05/2019,360,29050
Nissan Qashqai,1.3 DIG-T 140 N-Connecta (Tout-Terrain),Essence,Manuelle,7CV,07/2019,360,29050
Nissan Qashqai,1.3 DIG-T 140 Euro 6d-Temp N-Connecta (Tout-Terrain),Essence,Manuelle,7CV,11/2018,360,29050
Peugeot 308 SW,1.5 BlueHDi 130 BVM6 Active Business (Break),Diesel,Manuelle,6CV,02/2018,0,29050
Peugeot Rifter,Long 1.2i 12V 130 PureTech EAT8 Allure (Combiné),Essence,Automatique,7CV,09/2019,210,29050
Seat Ateca,1.5 TSI 150 ACT Style Business (5p.),Essence,Manuelle,8CV,06/2018,210,29050
Volvo V40,2.0 D2 (eco) 120 AdBlue Business (5p.),Diesel,Manuelle,6CV,04/2018,310,29060
Mercedes Vito,Fourgon Long FWD 110 CDI 102 ch (Fourgon),Diesel,Manuelle,5CV,09/2019,12012,29064
Audi A1 Sportback,35 TFSI 150 S tronic 7 Advanced (5p.),Essence,Automatique,7CV,06/2019,100,29070
Ford Transit Custom Fourgon,280 L1H2 2.0D 105 EcoBlue Ambiente (Fourgon),Diesel,Manuelle,7CV,11/2017,8671,29088
Kia Cee'd SW,1.4 T-GDI 140 DCT7 GT Line (Break),Essence,Automatique,7CV,07/2019,400,29090
Citroen Berlingo Van,1.5 BlueHDi 130 EAT8 WORKER (Fourgonnette),Diesel,Automatique,5CV,09/2019,150,29100
Citroen Jumpy Combi,XS 1.6 BlueHDi 120 BVM6 XS Confort (Combiné),Diesel,Manuelle,6CV,06/2018,650,29100
Mazda 3,2.0i SkyActiv-G 122 BVM6 Sportline (5p.),Essence,Manuelle,6CV,12/2018,240,29100
Mini Mini,1.5i Twin Power Turbo 136 BVA7 Cooper Business Design (5p.),Essence,Automatique,7CV,01/2019,0,29100
Mini Mini,1.5i Twin Power Turbo 136 BVA7 Cooper Chili (5p.),Essence,Automatique,7CV,05/2018,0,29100
Mini Mini,Cooper S 192 ch Finition Salt Auto-ecole (3p.),Essence,Manuelle,11CV,01/2020,1761,29100
Mini Mini Clubman,1.5i 102 BVA7 One Salt Auto-ecole (Break),Essence,Automatique,6CV,05/2019,360,29100
Peugeot 308,1.5 BlueHDi 130 EAT8 Active (5p.),Diesel,Automatique,6CV,09/2019,0,29100
