Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Fiat Panda,1.2i 69 Lounge (5p.),Essence,Manuelle,4CV,05/2018,100,12490
Lada Priora,1.6i 98 Luxe (5p.),Essence,Manuelle,6CV,06/2013,5404,12499
Lada Priora Break,1.6i 98 Luxe (Break),Essence,Manuelle,6CV,06/2013,4818,12499
Peugeot 108,1.0i 12V VTi 72 BVM5 Active (3p.),Essence,Manuelle,4CV,04/2019,0,12650
Dacia Logan MCV,ECO-G 100 Essentiel (Break),GPL,Manuelle,5CV,02/2020,50,12710
Toyota Aygo Société,1.0 VVT-i x-pro (3p.),Essence,Manuelle,4CV,10/2019,0,12740
Toyota Aygo Société,1.0 VVT-i 72 x-pro (3p.),Essence,Manuelle,4CV,04/2018,0,12740
Ford Ka +,1.2i 85 Black Edition (5p.),Essence,Manuelle,5CV,03/2018,150,12750
Ford Ka +,1.2i 85 White Edition (5p.),Essence,Manuelle,5CV,03/2018,150,12750
Kia Picanto,1.0i 67 BVM5 Active (5p.),Essence,Manuelle,4CV,06/2018,0,12790
Citroen C1,VTi 72 Feel (3p.),Essence,Manuelle,4CV,01/2020,0,12850
Seat Mii,1.0 75 Style (5p.),Essence,Manuelle,4CV,06/2018,0,12925
Fiat 500,1.2i 69 Euro 6D Pop (3p.),Essence,Manuelle,4CV,10/2018,360,12990
Fiat 500,1.2i 69 Pop (3p.),Essence,Manuelle,4CV,05/2019,210,12990
Fiat Panda,1.2 69 ch City Cross Elysia (5p.),Essence,Manuelle,4CV,01/2020,818,12990
Lada 4X4,1.7i 81 NORMA (Tout-Terrain),Essence,Manuelle,10CV,09/2012,20000,12990
Mitsubishi Space Star,1.2i MIVEC 80 Invite (5p.),Essence,Manuelle,4CV,08/2018,75,12990
Toyota Aygo,1.0 VVT-i x-black (3p.),Essence,Manuelle,4CV,08/2019,0,12990
Dacia Logan MCV,TCe 90 Easy-R Essentiel (Break),Essence,Automatique,5CV,02/2020,190,13010
Seat Mii,1.0 60 Chic (5p.),Essence,Manuelle,3CV,06/2018,0,13025
Dacia Logan,1.5 Blue dCi 75 Confort (4p.),Diesel,Manuelle,4CV,06/2019,0,13060
Dacia Sandero,0.9i 12V TCe 90 E6C Stepway (5p.),Essence,Manuelle,5CV,07/2018,170,13090
Toyota Aygo Société,1.0 VVT-i x-pro (5p.),Essence,Manuelle,4CV,10/2019,0,13140
Toyota Aygo Société,1.0 VVT-i 72 x-pro (5p.),Essence,Manuelle,4CV,04/2018,0,13140
Peugeot 108,1.0i 12V VTi 72 BVM5 Active (5p.),Essence,Manuelle,4CV,04/2019,0,13150
Dacia Sandero,Blue dCi 95 City + (5p.),Diesel,Manuelle,5CV,02/2020,0,13190
Opel Karl,1.0 73 Edition 120 ans (5p.),Essence,Manuelle,4CV,11/2018,150,13200
Lada Priora,1.6i 98 GPL Clim (5p.),GPL,Manuelle,6CV,06/2013,3552,13299
Lada Priora Break,1.6i 98 GPL (Break),GPL,Manuelle,6CV,06/2013,3552,13299
Dacia Dokker,1.6i TCe 100 FAP Essentiel (Combiné),Essence,Manuelle,6CV,06/2019,1172,13300
Citroen C1,VTi 72 Feel (5p.),Essence,Manuelle,4CV,01/2020,0,13350
Dacia Sandero,TCe 90 15 ans (5p.),Essence,Manuelle,5CV,02/2020,170,13390
Dacia Sandero,ECO-G 100 Stepway (5p.),GPL,Manuelle,5CV,02/2020,50,13390
Toyota Aygo,1.0 VVT-i x-black (5p.),Essence,Manuelle,4CV,08/2019,0,13390
Toyota Aygo,1.0 VVT-i 72 x-play (3p.),Essence,Manuelle,4CV,04/2018,0,13390
Seat Mii,1.0 75 BVA5 Style (5p.),Essence,Automatique,4CV,02/2019,0,13475
Fiat Panda,1.2i 69 City Cross (5p.),Essence,Manuelle,4CV,05/2018,818,13490
Fiat Tipo,1.4 95 (4p.),Essence,Manuelle,5CV,08/2019,740,13490
Fiat Tipo,1.4 95 (4p.),Essence,Manuelle,5CV,07/2019,740,13490
Seat Mii,1.0 75 Chic (5p.),Essence,Manuelle,4CV,06/2018,0,13530
Peugeot 108,1.0i 12V VTi 72 BVM5 Style (3p.),Essence,Manuelle,4CV,04/2019,0,13550
Kia Picanto,1.0 67 ch BVM5 Urban Edition (5p.),Essence,Manuelle,4CV,01/2020,0,13590
Toyota Aygo,1.0 VVT-i x-play (3p.),Essence,Manuelle,4CV,10/2019,0,13590
Toyota Aygo,1.0 VVT-i 72 x-play x-app (3p.),Essence,Manuelle,4CV,04/2019,0,13590
Dacia Logan,1.5 Blue dCi 95 Confort (4p.),Diesel,Manuelle,5CV,06/2019,0,13660
Dacia Sandero,ECO-G 100 15 ans (5p.),GPL,Manuelle,5CV,02/2020,50,13690
Dacia Sandero,TCe 90 Quattro S tronic 7 Stepway (5p.),Essence,Automatique,5CV,02/2020,190,13690
Renault Twingo,1.0i SCe 75 Zen (5p.),Essence,Manuelle,4CV,03/2019,0,13700
Dacia Logan MCV,1.5 Blue dCi 75 Essentiel (Break),Diesel,Manuelle,4CV,06/2019,0,13710
Hyundai i10,1.0 67 ECO Intuitive (5p.),Essence,Manuelle,4CV,12/2019,0,13750
Kia Picanto,1.0i 67 BVM5 Design (5p.),Essence,Manuelle,4CV,06/2018,0,13790
Toyota Aygo,1.0 VVT-i 72 x-play (5p.),Essence,Manuelle,4CV,04/2018,0,13790
Ford Ka +,1.2i 85 Active (5p.),Essence,Manuelle,5CV,03/2018,740,13850
Suzuki Ignis,1.2 DualJet Hybrid Avantage (5p.),Essence,Manuelle,4CV,08/2019,0,13890
Dacia Lodgy,1.3i TCe 100 FAP Essentiel (Monospace),Essence,Manuelle,6CV,06/2019,1172,13900
Dacia Lodgy,TCe 100 FAP Essentiel (Monospace),Essence,Manuelle,6CV,02/2020,983,13900
Ford Fiesta,1.1 75 BVM5 (3p.),Essence,Manuelle,4CV,11/2019,0,13900
Opel Karl,1.0i 73 Rocks (5p.),Essence,Manuelle,4CV,03/2018,150,13900
Dacia Logan MCV,0.9i 12V TCe 90 E6C Stepway (Break),Essence,Manuelle,5CV,04/2018,170,13960
Dacia Sandero,TCe 90 Quattro S tronic 7 15 ans (5p.),Essence,Automatique,5CV,02/2020,190,13990
Fiat Panda,1.0 Micro-hybride 70 City Cross Elysia (5p.),Essence,Manuelle,4CV,01/2020,0,13990
Fiat Panda,1.2i 69 City Cross Plus (5p.),Essence,Manuelle,4CV,05/2018,818,13990
Fiat Panda,0.9 85 TwinAir Lounge (5p.),Essence,Manuelle,4CV,09/2019,0,13990
Fiat Panda,1.2i 69 GPL Lounge (5p.),GPL,Manuelle,4CV,05/2018,280,13990
Lada 4X4,1.7i 81 Kamouflage (Tout-Terrain),Essence,Manuelle,7CV,06/2013,20000,13990
Lada 4X4,1.7i 81 Tsarina (Tout-Terrain),Essence,Manuelle,7CV,09/2012,20000,13990
Nissan Micra,1.0 IG 71 Visia (5p.),Essence,Manuelle,4CV,05/2018,280,13990
Toyota Aygo,1.0 VVT-i x-play (5p.),Essence,Manuelle,4CV,10/2019,0,13990
Toyota Aygo,1.0 VVT-i 72 x-play x-app (5p.),Essence,Manuelle,4CV,04/2019,0,13990
Peugeot 108,1.0i 12V VTi 72 BVM5 Style (5p.),Essence,Manuelle,4CV,04/2019,0,14050
Seat Mii,1.0 75 BVA5 Chic (5p.),Essence,Automatique,4CV,02/2019,0,14080
Toyota Aygo,1.0 VVT-i 72 x-shift x-play (3p.),Essence,Automatique,4CV,04/2018,0,14090
Dacia Dokker,1.3i 16V TCe 130 Essentiel (Combiné),Essence,Manuelle,7CV,06/2019,1629,14100
Dacia Dokker,TCe 130 FAP Essentiel (Combiné),Essence,Manuelle,7CV,02/2020,1276,14100
Renault Clio,1.0 SCe 65 Life (5p.),Essence,Manuelle,4CV,09/2019,100,14100
Ford Ka +,1.5 TDCi 95 Ultimate (5p.),Diesel,Manuelle,5CV,03/2018,0,14150
Mitsubishi Space Star,1.2i MIVEC 80 Black Collection (5p.),Essence,Manuelle,4CV,01/2019,125,14190
Citroen C1,VTi 72 Shine (3p.),Essence,Manuelle,4CV,01/2020,0,14250
Dacia Logan MCV,TCe 90 15 ans (Break),Essence,Manuelle,5CV,02/2020,170,14260
Dacia Logan MCV,ECO-G 100 Stepway (Break),GPL,Manuelle,5CV,02/2020,50,14260
Toyota Aygo,1.0 VVT-i x-shift x-play (3p.),Essence,Automatique,4CV,10/2019,0,14290
Toyota Aygo,1.0 VVT-i 72 x-shift x-play x-app (3p.),Essence,Automatique,4CV,04/2019,0,14290
Lada Priora,1.6i 98 GPL Luxe (5p.),GPL,Manuelle,6CV,06/2013,3552,14299
Lada Priora Break,1.6i 98 GPL Luxe (Break),GPL,Manuelle,6CV,06/2013,3552,14299
Citroen C1,Airscape VTi 72 Feel (3p.),Essence,Manuelle,4CV,01/2020,0,14300
Ford Fiesta,1.1 75 BVM5 (5p.),Essence,Manuelle,4CV,11/2019,0,14300
Dacia Logan MCV,1.5 Blue dCi 95 Essentiel (Break),Diesel,Manuelle,5CV,06/2019,0,14310
Citroen C1,VTi 72 Millenium (5p.),Essence,Manuelle,4CV,01/2020,0,14350
Toyota Aygo,1.0 VVT-i x-cite 2 (3p.),Essence,Manuelle,4CV,10/2019,0,14390
Toyota Aygo,1.0 VVT-i 72 x-cite 2 (3p.),Essence,Manuelle,4CV,04/2019,0,14390
Citroen C3,1.2i 12V 82 PureTech Live (5p.),Essence,Manuelle,4CV,04/2019,0,14450
Fiat 500,1.2i 69 Dualogic Pop (3p.),Essence,Automatique,4CV,05/2019,125,14490
Fiat 500,1.2i 69 Euro 6D Dualogic Pop (3p.),Essence,Automatique,4CV,10/2018,260,14490
Fiat Panda,1.0 Micro-hybride 70 City Cross (5p.),Essence,Manuelle,4CV,01/2020,0,14490
Fiat Panda,0.9 85 ch TwinAir City Cross Elysia (5p.),Essence,Manuelle,4CV,01/2020,0,14490
Lada 4X4,1.7i 81 GPL Norma (Tout-Terrain),GPL,Manuelle,6CV,09/2012,16149,14490
Toyota Aygo,1.0 VVT-i 72 x-shift x-play (5p.),Essence,Automatique,4CV,04/2018,0,14490
Dacia Lodgy,1.3i TCe 100 FAP Essentiel (Monospace),Essence,Manuelle,6CV,06/2019,1172,14500
Dacia Lodgy,TCe 100 FAP Essentiel (Monospace),Essence,Manuelle,6CV,02/2020,1074,14500
Hyundai i20,1.2 75 Initia (5p.),Essence,Manuelle,4CV,03/2018,280,14500
Renault Twingo,0.9i TCe 95 Zen (5p.),Essence,Manuelle,5CV,03/2019,0,14500
Suzuki Swift,1.2 Dualjet Hybrid Avantage (5p.),Essence,Manuelle,4CV,10/2019,0,14540
Volkswagen Up!,1.0 60 BVM5 Lounge (5p.),Essence,Manuelle,3CV,01/2020,0,14555
Dacia Logan MCV,ECO-G 100 15 ans (Break),GPL,Manuelle,5CV,02/2020,50,14560
Dacia Logan MCV,TCe 90 Easy-R Stepway (Break),Essence,Automatique,5CV,02/2020,190,14560
Kia Rio,1.2L 84 Motion (5p.),Essence,Manuelle,5CV,10/2019,310,14590
Suzuki Baleno,1.2 DualJet Privilège (5p.),Essence,Manuelle,5CV,09/2018,0,14590
Opel Corsa,1.2 75 BVM5 (5p.),Essence,Manuelle,4CV,07/2019,0,14600
Renault Clio,1.0 SCe 75 Life (5p.),Essence,Manuelle,4CV,09/2019,100,14600
Hyundai i10,1.0 67 BVR Intuitive (5p.),Essence,Automatique,4CV,12/2019,0,14650
Toyota Aygo,1.0 VVT-i x-shift x-play (5p.),Essence,Automatique,4CV,10/2019,0,14690
Toyota Aygo,1.0 VVT-i 72 x-shift x-play x-app (5p.),Essence,Automatique,4CV,04/2019,0,14690
Dacia Lodgy,1.3i 16V TCe 130 FAP Essentiel (Monospace),Essence,Manuelle,7CV,06/2019,1172,14700
Dacia Lodgy,TCe 130 FAP Essentiel (Monospace),Essence,Manuelle,7CV,02/2020,983,14700
Opel Adam,1.2i Twinport 70 Unlimited (3p.),Essence,Manuelle,4CV,02/2018,650,14700
Citroen C1,VTi 72 Shine (5p.),Essence,Manuelle,4CV,01/2020,0,14750
Dacia Duster,1.0 SCe 100 4x2 Essentiel (Tout-Terrain),Essence,Manuelle,5CV,09/2019,280,14750
Dacia Duster,ECO-G 100 4x2 Essentiel (Tout-Terrain),GPL,Manuelle,5CV,02/2020,400,14750
Ford Ka +,1.5 TDCi 95 Black Edition (5p.),Diesel,Manuelle,5CV,03/2018,0,14750
Ford Ka +,1.5 TDCi 95 White Edition (5p.),Diesel,Manuelle,5CV,03/2018,0,14750
Toyota Aygo,1.0 VVT-i 72 x-sport (5p.),Essence,Manuelle,4CV,02/2019,0,14750
Toyota Yaris,70 VVT-i Active (3p.),Essence,Manuelle,4CV,09/2018,0,14750
Toyota Aygo,1.0 VVT-i x-cite 2 (5p.),Essence,Manuelle,4CV,10/2019,0,14790
Toyota Aygo,1.0 VVT-i 72 x-cite 2 (5p.),Essence,Manuelle,4CV,04/2019,0,14790
Toyota Aygo,1.0 VVT-i 72 x-trend 2 (5p.),Essence,Manuelle,4CV,04/2019,0,14790
Citroen C1,Airscape VTi 72 Feel (5p.),Essence,Manuelle,4CV,01/2020,0,14800
Dacia Logan MCV,TCe 90 Easy-R 15 ans (Break),Essence,Automatique,5CV,02/2020,190,14860
Kia Picanto,1.0i 67 BVM5 GT Line (5p.),Essence,Manuelle,4CV,06/2018,0,14890
Dacia Duster,1.5 Blue dCi 95 4x2 Access (Tout-Terrain),Diesel,Manuelle,5CV,06/2019,0,14900
Renault Twingo,1.0i SCe 75 Intens (5p.),Essence,Manuelle,4CV,03/2019,0,14900
Citroen C3 Société,1.2i 12V 82 PureTech Feel (5p.),Essence,Manuelle,4CV,07/2018,0,14970
Dacia Sandero,1.5 Blue dCi 95 Stepway (5p.),Diesel,Manuelle,5CV,10/2018,0,14990
Fiat 500,1.0 Micro-hybride 70 Pop (3p.),Essence,Manuelle,4CV,12/2019,0,14990
Fiat Panda,0.9 85 TwinAir City Cross (5p.),Essence,Manuelle,4CV,09/2019,0,14990
Fiat Panda,1.0 Micro-hybride 70 City Cross Plus (5p.),Essence,Manuelle,4CV,01/2020,0,14990
Fiat Panda,1.2 69 Trussardi (5p.),Essence,Manuelle,4CV,09/2019,818,14990
Fiat Tipo,1.4 95 Pop (4p.),Essence,Manuelle,5CV,07/2018,740,14990
Fiat Tipo,1.4 95 Street (4p.),Essence,Manuelle,5CV,08/2019,740,14990
Fiat Tipo 5p.,1.4 95 (5p.),Essence,Manuelle,5CV,08/2019,740,14990
Fiat Tipo 5p.,1.4 95 (5p.),Essence,Manuelle,6CV,07/2018,740,14990
Lada 4X4,1.7i 81 KAMOUFLAGE (Tout-Terrain),Essence,Manuelle,10CV,06/2013,20000,14990
Lada 4X4,1.7i 81 GPL NORMA (Tout-Terrain),GPL,Manuelle,10CV,09/2012,20000,14990
Lada 4X4,1.7i 81 TSARINA (Tout-Terrain),Essence,Manuelle,10CV,09/2012,20000,14990
Mitsubishi Space Star,1.2i MIVEC 80 Intense (5p.),Essence,Manuelle,4CV,08/2018,125,14990
Nissan Micra,1.0 IG 71 Visia Pack (5p.),Essence,Manuelle,4CV,05/2018,280,14990
Nissan Micra,IG 71 Visia Pack (5p.),Essence,Manuelle,4CV,03/2019,280,14990
Suzuki Ignis,1.2 DualJet Hybrid Privilège (5p.),Essence,Manuelle,4CV,08/2019,0,15040
Citroen C1,VTi 72 Urban Ride (5p.),Essence,Manuelle,4CV,01/2020,0,15050
Dacia Dokker,1.5 Blue dCi 75 Essentiel (Combiné),Diesel,Manuelle,4CV,06/2019,100,15050
Volkswagen Up!,1.0 60 ch BVM5 United (5p.),Essence,Manuelle,3CV,02/2020,0,15055
Skoda Fabia,1.0 MPI 60 BVM5 Business (5p.),Essence,Manuelle,3CV,06/2019,0,15070
Toyota Aygo,1.0 VVT-i x-shift x-cite 2 (3p.),Essence,Automatique,4CV,10/2019,0,15090
Toyota Aygo,1.0 VVT-i 72 x-shift x-cite 2 (3p.),Essence,Automatique,4CV,04/2019,0,15090
Fiat 500,1.2i 69 Eco Pack Lounge (3p.),Essence,Manuelle,4CV,05/2019,0,15190
Fiat 500,1.2i 69 Sport (3p.),Essence,Manuelle,4CV,05/2019,210,15190
Mitsubishi Space Star,1.2i MIVEC 80 CVT Black Collection (5p.),Essence,Automatique,4CV,01/2019,190,15190
Peugeot 108,1.0i 12V VTi 72 BVM5 Allure (5p.),Essence,Manuelle,4CV,04/2019,0,15200
Opel Adam,1.4 Twinport 87 Unlimited (3p.),Essence,Manuelle,5CV,02/2018,650,15250
Peugeot 108,1.0i 12V VTi 72 BVM5 Style TOP! (5p.),Essence,Manuelle,4CV,04/2019,0,15250
Dacia Sandero,Blue dCi 95 15 ans (5p.),Diesel,Manuelle,5CV,02/2020,0,15290
Fiat 500,1.2i 69 Eco Pack Lounge (3p.),Essence,Manuelle,4CV,10/2018,190,15290
Fiat 500 C,1.2i 69 Euro 6D Pop (Cabriolet),Essence,Manuelle,4CV,10/2018,360,15290
Dacia Lodgy,1.3i 16V TCe 130 FAP Essentiel (Monospace),Essence,Manuelle,7CV,06/2019,1172,15300
